time,lat,lon,h,x,y,z,speed,accel_x,accel_y,accel_z,roll,pitch,yaw,heading
9.72441,37.63238323,126.9699703,49.93928761,-411.2,6264.47,29.85,19.39,-0.279433333,0.843,-0.035466667,-0.008481,-0.000625,0.247906,164.57
9.964409,37.63235755,126.9699615,50.01653007,-411.82,6261.62,29.94,19.49,-0.240862069,0.573,-0.042206897,-0.007666,-0.000814,0.227403,166.63
10.204409,37.63233133,126.9699539,50.10370837,-412.49,6258.69,30.03,19.56,-0.144387097,0.361096774,0.041322581,-0.007982,0.000484,0.205164,168.51
10.445409,37.63230016,126.9699462,50.21034765,-413.17,6255.76,30.12,19.61,-0.147103448,0.224586207,0.049482759,-0.005323,-0.000439,0.177687,170.18
10.684917,37.63227808,126.9699416,50.28796449,-413.66,6252.78,30.22,19.63,-0.196517241,0.138724138,-0.14962069,-0.007485,0.004589,0.149253,171.6
10.924917,37.63225114,126.9699366,50.38505347,-414.02,6250.32,30.3,19.65,0.136266667,0.0715,0.080066667,-0.005212,0.064877,0.124969,172.8
11.164918,37.63222429,126.9699323,50.47214981,-414.4,6247.34,30.39,19.66,-0.210758621,0.08362069,0.411310345,-0.026116,0.041993,0.097325,173.78
11.404917,37.63219726,126.9699286,50.5492247,-414.73,6244.34,30.47,19.67,-0.450433333,0.062133333,-0.109866667,-0.006401,-0.038877,0.081617,174.54
11.644917,37.6321705,126.9699253,50.62632786,-415.02,6240.83,30.57,19.68,-0.250214286,0.045571429,-0.054821429,-0.004726,-0.029687,0.07843,175.21
11.884917,37.63214338,126.9699225,50.70339058,-415.31,6237.82,30.65,19.68,-0.083103448,0.037137931,-0.073103448,-0.028756,-0.038136,0.077587,175.9
12.124917,37.63211635,126.9699201,50.78046194,-415.48,6235.36,30.71,19.69,0.035310345,0.047482759,0.229448276,-0.038026,-0.021958,0.073098,176.56
12.364917,37.63208941,126.969918,50.84754258,-415.66,6232.37,30.78,19.7,0.062344828,0.052344828,-0.229068966,0.015815,0.016593,0.061937,177.15
12.604917,37.63206229,126.9699162,50.90460373,-415.82,6229.36,30.86,19.71,-0.017931034,0.024931034,-0.025275862,0.00602,0.025101,0.045526,177.62
12.845917,37.63203526,126.9699148,50.98167415,-415.97,6225.81,30.93,19.71,-0.185,-0.001965517,-0.12737931,0.008274,0.001184,0.028152,177.93
13.85917,37.63200805,126.9699134,51.03872576,-416.07,6223.34,31,19.71,-0.363833333,0.036,0.910166667,-0.081157,-0.014792,0.022998,178.12
13.325917,37.63198084,126.9699123,51.09577751,-416.17,6220.32,31.04,19.72,-0.133793103,0.084103448,-0.290344828,-0.011481,-0.023665,0.051175,178.46
13.565917,37.6319539,126.9699115,51.13285808,-416.24,6217.33,31.08,19.46,-0.385357143,-4.904821429,0.223214286,-0.01546,0.003024,0.092095,179.06
13.805918,37.63192804,126.9699113,51.17005406,-416.26,6214.46,31.12,18.55,-0.071655172,-6.914448276,0.506586207,-0.031752,0.030365,0.180016,180.29
14.45917,37.63190362,126.9699117,51.20740372,-416.22,6211.75,31.16,17.43,0.012758621,-7.700275862,0.857896552,-0.082881,-0.010441,0.243457,182.21
14.285917,37.63188083,126.9699132,51.22492442,-416.09,6209.22,31.18,16.58,-0.026166667,-4.077133333,-0.664566667,-0.008404,-0.030087,0.277397,184.5
14.52708,37.63185867,126.9699158,51.23250795,-415.86,6206.76,31.19,16.44,-0.485714286,-0.394214286,-1.1075,0.004756,0.019923,0.292333,186.94
14.76708,37.63183659,126.9699198,51.24009439,-415.44,6203.87,31.2,16.38,-0.325448276,-0.387724138,-0.310413793,-0.043542,0.003392,0.346312,189.71
15.708,37.63181461,126.9699251,51.23768374,-414.93,6201.42,31.2,16.39,-0.208133333,1.7629,-0.561866667,0.010715,0.026591,0.40325,193.02
15.24708,37.63179262,126.9699323,51.23526303,-414.25,6198.97,31.2,16.64,-1.889275862,1.290758621,0.248965517,-0.061863,0.019675,0.463599,196.81
15.487079,37.63177091,126.9699419,51.23285961,-413.56,6197.02,31.2,16.78,0.719206897,0.827793103,-0.27437931,-0.059073,0.002609,0.620171,201.82
15.729125,37.63174965,126.9699539,51.2304917,-412.5,6194.24,31.2,16.93,0.994344828,1.199586207,-0.512655172,-0.029718,-0.023702,0.59668,207.29
15.968126,37.63172929,126.9699677,51.21821191,-411.28,6191.98,31.19,17.25,0.203551724,2.383068966,0.193413793,-0.003611,-0.036776,0.388452,211.43
16.210143,37.63170893,126.9699836,51.2059216,-409.6,6189.72,31.18,17.66,-1.57,3.007034483,0.39437931,0.041938,0.036057,0.261494,214.1
16.449143,37.63168829,126.9700015,51.2135917,-408.3,6187.85,31.19,18.12,-0.927032258,3.024193548,0.188677419,0.045966,0.096884,0.227556,216.22
16.689143,37.63166775,126.9700209,51.2612638,-406.58,6185.57,31.24,18.59,-0.085566667,2.974533333,0.3297,0.004001,0.030836,0.197172,218.14
16.929155,37.63164739,126.9700413,51.31895155,-404.78,6183.31,31.3,18.99,-0.458068966,2.267689655,0.807793103,0.017154,-0.20068,0.142392,219.58
17.168661,37.63162721,126.9700625,51.31665566,-402.91,6181.07,31.3,19.23,0.624689655,1.561724138,1.016275862,-0.07339,-0.120011,0.176771,220.95
17.415172,37.63160361,126.9700887,51.25396432,-400.6,6178.45,31.24,19.22,-0.229222222,-4.436703704,0.220518519,0.095327,0.00547,0.156695,222.83
17.6502,37.63158829,126.9701067,51.22221335,-399.01,6176.75,31.21,18.55,-0.987827586,-6.133896552,1.517896552,0.147929,-0.112808,0.106169,223.67
17.890169,37.63157081,126.9701279,51.19021277,-396.83,6174.5,31.17,16.98,0.452142857,-26.165,1.824642857,-0.002932,-0.074848,0.114173,224.63
18.13017,37.63155667,126.9701456,51.17859169,-395.58,6173.24,31.17,13.41,1.976214286,-22.62992857,-0.887857143,-0.035247,0.012237,0.09885,225.63
18.370171,37.63154559,126.9701594,51.19732232,-394.36,6172.01,31.19,10.11,-0.655285714,-19.47035714,0.706142857,-0.060144,-0.017949,0.005204,226
18.620173,37.63153604,126.9701713,51.22622885,-393.31,6170.95,31.22,7.41,-0.565192308,-12.58142308,-1.026461538,-0.032879,0.018565,-0.06353,225.52
18.882242,37.63153081,126.9701779,51.23563035,-392.73,6170.37,31.23,6.07,-0.271107143,-9.565821429,-1.33925,-0.025209,-0.104478,-0.051201,225.12
19.134242,37.63152477,126.9701852,51.21494036,-392.08,6169.7,31.21,4.7,-0.17325,-6.377357143,0.358607143,-0.01866,-0.10845,-0.024522,224.81
19.391255,37.63152144,126.9701894,51.1945587,-391.71,6169.33,31.19,4.01,-0.083851852,-5.144703704,0.314888889,-0.017262,-0.073388,-0.011685,224.74
19.631254,37.63151793,126.9701936,51.18415768,-391.34,6168.94,31.18,3.36,-0.091964286,-3.783964286,0.21125,-0.019429,-0.061793,-0.002124,224.73
19.871252,37.63151504,126.9701973,51.16382706,-391.01,6168.62,31.16,2.86,-0.05462963,-3.065259259,-0.695592593,-0.011104,0.014391,0.008291,224.78
20.112254,37.63151252,126.9702005,51.14353833,-390.68,6168.29,31.13,2.54,-0.282103448,-2.710103448,0.07262069,0.014248,0.046387,0.017783,224.87
20.351253,37.63151027,126.9702033,51.12328056,-390.48,6168.09,31.12,2.23,-0.12162069,-2.580068966,-0.06237931,0.043539,0.032372,0.02899,225.05
20.591286,37.63150838,126.9702059,51.10306283,-390.25,6167.88,31.1,2.01,0.173148148,-2.636740741,-0.028148148,0.03196,0.013383,0.027056,225.29
20.831253,37.63150658,126.9702083,51.09285603,-390.04,6167.68,31.09,1.87,-0.090178571,0.503142857,-0.031285714,0.012556,0.018174,0.024958,225.47
21.71254,37.63150504,126.9702106,51.07267895,-389.84,6167.51,31.07,1.66,-0.614428571,-2.869357143,-0.028214286,0.015922,-0.000426,0.023358,225.7
21.316253,37.63150342,126.9702131,51.06249095,-389.62,6167.33,31.06,1.46,-0.094555556,0.492148148,-0.005259259,0.023669,0.005932,0.031153,226
21.551253,37.63150261,126.9702146,51.05239575,-389.49,6167.24,31.05,1.31,0.360607143,0.540071429,-0.030714286,0.019747,0.014239,0.030244,226.21
21.791253,37.63150153,126.9702161,51.05227083,-389.35,6167.12,31.05,1.17,0.295103448,0.524517241,-0.034172414,0.010536,0.01426,0.019231,226.39
22.31253,37.63150063,126.9702175,51.04216655,-389.23,6167.02,31.04,1.04,0.205107143,0.541107143,-0.004285714,0.008484,0.012152,0.011533,226.51
22.271253,37.63149973,126.9702189,51.03206226,-389.11,6166.92,31.03,0.93,0.379481481,-2.66537037,-0.020666667,0.016279,-0.00373,-0.010685,226.52
22.524254,37.63149874,126.9702202,51.02194828,-388.99,6166.81,31.02,0.93,0.090185185,-2.710962963,0.066185185,0.000419,0.008856,-0.017281,226.32
22.781262,37.63149793,126.9702212,51.02185553,-388.9,6166.72,31.02,0.99,-0.038892857,0.472571429,-0.032357143,-0.002483,0.019825,-0.012167,226.22
23.23262,37.63149703,126.9702225,51.01175186,-388.79,6166.62,31.01,0.87,-0.013407407,0.544888889,-0.050592593,0.001051,0.012441,-0.008012,226.13
23.262288,37.63149631,126.9702234,51.01166942,-388.71,6166.54,31.01,0.94,-0.021037037,0.584185185,-0.034962963,0.003537,0.01791,-0.00637,226.06
23.501289,37.6314954,126.9702245,51.00156637,-388.61,6166.44,31,0.93,0.005821429,-2.676107143,0.024285714,0.003947,0.004041,-0.004869,226.01
23.75732,37.6314945,126.9702257,51.00146331,-388.51,6166.34,31,1,0.033333333,0.44462963,-0.028111111,1.30E-05,0.016697,-0.002645,225.97
23.996834,37.63149369,126.9702268,50.99136997,-388.41,6166.25,30.99,0.85,-0.076259259,0.497481481,0.03662963,0.00017,0.009671,-0.003587,225.94
24.237873,37.63149288,126.9702278,50.99127723,-388.32,6166.16,30.99,0.93,-0.032178571,0.501642857,-0.013178571,0.012204,0.011189,-0.001983,225.91
24.478381,37.63149198,126.9702291,50.99117357,-388.21,6166.06,30.99,1,-0.000884615,0.453769231,-0.017730769,0.011761,0.009776,-0.000529,225.9
24.718388,37.63149117,126.9702301,50.98108084,-388.12,6165.97,30.98,0.84,0.017692308,0.461615385,-0.033653846,0.006974,0.006287,0.000322,225.91
