3.16,-2.54
0.01,-0.6
-5.59,-4.58
-120.89,77.77
-109.19,72.08
-122.28,62.16
-127.97,73.11
-144.37,58.1
-139.15,65.6
-150.2,46.79
-149.32,36.92
-167.29,40.78
-162.2,22.06
-164.06,27.0
-159.07,7.28
-163.9,-1.94
-156.97,-7.1
-161.4,-27.3
-155.76,-28.31
-160.21,-36.95
-161.77,-33.3
-158.19,-52.03
-150.87,-56.06
-140.63,-69.78
-146.93,-60.32
-133.98,-55.54
-144.22,-65.96
-139.21,-72.29
-146.47,-63.8
-128.19,-75.41
-127.89,-59.45
-145.19,-62.24
-128.91,-68.8
-141.76,-71.42
-129.09,-60.2
-126.3,-69.78
-134.52,-67.58
-118.8,-73.58
-120.02,-65.12
-107.07,-60.16
-110.24,-61.78
-107.85,-48.62
-86.51,-44.73
-82.26,-53.6
-81.45,-28.96
-79.99,-32.11
-72.28,-19.1
-69.95,-26.43
-45.92,-24.05
-57.58,-4.85
-55.82,-10.75
-43.25,-11.82
-27.61,-28.97
-19.43,-27.85
-24.63,-37.06
-3.05,-36.77
-10.03,-54.08
-0.13,-66.23
9.16,-58.43
0.88,-72.38
2.7,-63.7
14.03,-72.2
6.39,-67.24
12.59,-74.54
13.99,-73.09
29.37,-76.56
21.0,-74.59
40.58,-66.16
38.99,-73.89
42.94,-73.13
53.37,-57.04
60.46,-48.19
67.61,-49.1
67.57,-37.22
85.46,-29.45
84.53,-20.9
96.62,-15.8
99.91,-14.76
100.67,-11.41
120.58,-6.19
130.08,20.11
141.16,9.74
142.82,26.11
142.54,31.55
148.72,50.55
174.15,57.9
164.96,52.01
181.53,76.61
181.38,70.49
205.27,88.69
210.21,81.28
210.68,95.4
216.97,109.63
230.45,109.49
227.35,111.98
245.88,120.27
250.82,127.11
252.53,147.22
259.28,140.5
264.87,149.8
266.97,163.27
285.33,171.93
287.6,179.84
293.77,193.41
